Tempo; Valor
2,35185965;-402,8398514
2,35284;-405,0599395
2,35382035;-407,4723675
2,3548007;-409,4545205
2,35578105;-410,6730653
2,3567614;-411,2132635
2,35774175;-411,439104
2,3587221;-411,6488795
2,35970245;-411,8158872
2,3606828;-411,6307295
2,36166315;-410,799859
2,3626435;-409,3901918
2,36362385;-407,9583294
2,3646042;-407,2880905
2,36558455;-407,8828303
2,3665649;-409,638942
2,36754525;-411,9506667
2,3685256;-414,0602245
2,36950595;-415,3164485
2,3704863;-415,2103371
2,37146665;-413,3215006
2,372447;-409,4349995
2,37342735;-403,8958141
2,3744077;-397,8532789
2,37538805;-393,0060127
2,3763684;-390,9354408
2,37734875;-392,4260769
2,3783291;-397,0558532
2,37930945;-403,251807
2,3802898;-408,9394153
2,38127015;-412,5235905
2,3822505;-413,5852657
2,38323085;-412,9027183
2,3842112;-411,8975804
2,38519155;-411,830857
2,3861719;-413,1259426
2,38715225;-415,1920623
2,3881326;-416,8495853
2,38911295;-417,0353497
2,3900933;-415,3460986
2,39107365;-412,1915436
2,392054;-408,5573578
2,39303435;-405,5516679
2,3940147;-403,9846284
2,39499505;-404,0911119
2,3959754;-405,4151543
2,39695575;-406,9931426
2,3979361;-407,8705034
2,39891645;-407,607787
2,3998968;-406,4006451
2,40087715;-404,8366235
2,4018575;-403,5482211
2,40283785;-402,9488283
2,4038182;-403,1226793
2,40479855;-403,8373944
2,4057789;-404,6198104
2,40675925;-404,9257408
2,4077396;-404,3999238
2,40871995;-403,0640651
2,4097003;-401,31438
2,41068065;-399,7537518
2,411661;-398,8614454
2,41264135;-398,6016149
2,4136217;-398,3577206
2,41460205;-397,3872063
2,4155824;-395,3427089
2,41656275;-392,351636
2,4175431;-388,8025524
2,41852345;-385,2366159
2,4195038;-382,3157945
2,42048415;-380,6142843
2,4214645;-380,2603077
2,42244485;-380,7403885
2,4234252;-381,1186734
2,42440555;-380,5746315
2,4253859;-378,8723599
2,42636625;-376,4419942
2,4273466;-374,0544428
2,42832695;-372,3261898
2,4293073;-371,3659048
2,43028765;-370,7546898
2,431268;-369,8278387
2,43224835;-368,0346086
2,4332287;-365,1387348
2,43420905;-361,2090622
2,4351894;-356,5117442
2,43616975;-351,4126491
2,4371501;-346,3317373
2,43813045;-341,7121644
2,4391108;-337,9361557
2,44009115;-335,2158283
2,4410715;-333,5441011
2,44205185;-332,7123866
2,4430322;-332,3792785
2,44401255;-332,1878169
2,4449929;-331,8462679
2,44597325;-331,107066
2,4469536;-329,7454555
2,44793395;-327,6451722
2,4489143;-324,9158622
2,44989465;-321,8927586
